Ticket_ID,Timestamp_of_ticket,Created_by,Comment,Attachment_IDs
26542,2025-08-04T09:26:15Z,85000496991,<div>Not given.</div>,
26543,2025-08-04T09:38:08Z,85000584524,<div>Not given.</div>,
26544,2025-08-04T09:56:32Z,85000496991,<div>Not given.</div>,
26545,2025-08-04T10:07:42Z,85000584524,<div>Not given.</div>,
26546,2025-08-04T10:11:30Z,85000184680,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">IR Deck 3rd time formatted and 1 page design mode.</div></div>",
26547,2025-08-04T10:17:27Z,85000496991,<div>Not given.</div>,
26548,2025-08-04T10:34:32Z,85000401297,<div>Not given.</div>,
26549,2025-08-04T11:11:31Z,85000231680,<div>No proporcionat.</div>,
26550,2025-08-04T11:14:05Z,85000231680,<div>No proporcionat.</div>,
26551,2025-08-04T11:16:51Z,85000231680,<div>No proporcionat.</div>,
26552,2025-08-04T11:18:09Z,85000474051,<div>Not given.</div>,
26553,2025-08-04T12:48:00Z,85000238521,<div>Not given.</div>,
26554,2025-08-04T13:42:00Z,85000196642,"<div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div style=""font-family:-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica Neue, Arial, sans-serif; font-size:14px""><div dir=""ltr"">The merchant meet for which we had designed the invite &amp; whatsapp creative&nbsp;.<br>(Ticket ID -",
26555,2025-08-04T18:04:36Z,85000254123,<div>No proporcionat.</div>,
26556,2025-08-05T04:28:27Z,85000916785,<div>Not given.</div>,
26557,2025-08-05T06:08:17Z,85000768327,<div>Not given.</div>,
26558,2025-08-05T06:11:49Z,85000361610,<div>No proporcionat.</div>,
26559,2025-08-05T07:18:38Z,85000557778,<div>Not given.</div>,
26560,2025-08-05T08:18:10Z,85000236636,<div>Not given.</div>,
26561,2025-08-05T08:18:14Z,85000851453,"<div dir=""ltr"">
<div>Hi Sarika, Geetika &amp; Hemlata,</div>
<div><br></div>
<div>Pls review. </div>
<div><div dir=""ltr"" class=""gmail_signature""><div dir=""ltr"">
<div><br></div>
<div>Best Regards</div>
<div>Kartik Jain</div>Senior Manager - Secretarial Team<div>
<div class=""MsoNormal"" style=""color:rgb(34,34,34)""><font><span lang=""EN-IN"" style=""color:black""><img width=""74"" height=""23"" src=""https://indattachment.freshdesk.com/inline/attachment?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6ODUw",
